מילה,Predict,score,אחוז ניבוי,התחלה,סיום,משך,דובר,Predict_numeric,בעייתית
עדיין,0.2,0.2,20.0,00:30,00:31,0.24,SPEAKER_00,0.2,False
"חדש,",0.152,0.152,15.2,00:31,00:32,0.44,SPEAKER_00,0.152,False
בסטטוס,0.087,0.087,8.7,00:31,00:31,0.42,SPEAKER_00,0.087,False
עדיין,0.068,0.068,6.8,00:32,00:32,0.2,SPEAKER_00,0.068,False
לא,0.121,0.121,12.1,00:32,00:32,0.06,SPEAKER_00,0.121,False
טופלה.,0.073,0.073,7.3,00:32,00:33,0.4,SPEAKER_00,0.073,False
אני,0.256,0.256,25.6,00:33,00:33,0.12,SPEAKER_00,0.256,False
רק,0.292,0.292,29.2,00:33,00:34,0.14,SPEAKER_00,0.292,False
רוצה,0.212,0.212,21.2,00:34,00:34,0.2,SPEAKER_00,0.212,False
לעבור,0.117,0.117,11.7,00:34,00:34,0.28,SPEAKER_00,0.117,False
רגע,0.037,0.037,3.7,00:34,00:34,0.18,SPEAKER_00,0.037,False
על,0.051,0.051,5.1,00:34,00:34,0.08,SPEAKER_00,0.051,False
פה,0.01,0.01,1.0,00:35,00:36,0.24,SPEAKER_00,0.01,False
שהכל,0.211,0.211,21.1,00:35,00:35,0.28,SPEAKER_00,0.211,False
בפני,0.047,0.047,4.7,00:35,00:35,0.16,SPEAKER_00,0.047,False
הפנייה,0.069,0.069,6.9,00:35,00:35,0.28,SPEAKER_00,0.069,False
מעלה.,0.025,0.025,2.5,00:36,00:36,0.32,SPEAKER_00,0.025,False
שוקט,0.061,0.061,6.1,00:36,00:36,0.16,SPEAKER_00,0.061,False
לי,0.084,0.084,8.4,00:36,00:36,0.08,SPEAKER_00,0.084,False
חובר,0.065,0.065,6.5,00:37,00:37,0.3,SPEAKER_00,0.065,False
"לכם,",0.22,0.22,22.0,00:37,00:37,0.12,SPEAKER_00,0.22,False
אז,0.012,0.012,1.2,00:37,00:37,0.14,SPEAKER_01,0.012,False
אני,0.018,0.018,1.8,00:37,00:38,0.22,SPEAKER_01,0.018,False
לסגור,0.012,0.012,1.2,00:38,00:39,0.5,SPEAKER_01,0.012,False
כבר,0.025,0.025,2.5,00:38,00:38,0.24,SPEAKER_01,0.025,False
רוצה,0.006,0.006,0.6,00:38,00:38,0.28,SPEAKER_01,0.006,False
את,0.016,0.016,1.6,00:39,00:39,0.06,SPEAKER_01,0.016,False
"זה,",0.006,0.006,0.6,00:39,00:39,0.08,SPEAKER_01,0.006,False
וזה,0.007,0.007,0.7,00:39,00:39,0.22,SPEAKER_01,0.007,False
תמיד,0.014,0.014,1.4,00:40,00:40,0.4,SPEAKER_01,0.014,False
יהיה,0.038,0.038,3.8,00:40,00:40,0.1,SPEAKER_01,0.038,False
מורכב.,0.025,0.025,2.5,00:40,00:41,0.38,SPEAKER_01,0.025,False
מה,0.464,0.464,46.4,00:45,00:45,0.1,SPEAKER_00,0.464,False
השם,0.133,0.133,13.3,00:45,00:45,0.24,SPEAKER_00,0.133,False
שלך?,0.183,0.183,18.3,00:45,00:45,0.3,SPEAKER_00,0.183,False
אורן.,0.056,0.056,5.6,00:46,00:47,0.28,SPEAKER_01,0.056,False
גדי,0.228,0.228,22.8,00:46,00:46,0.3,SPEAKER_01,0.228,False
הוא,0.053,0.053,5.3,00:50,00:50,0.1,SPEAKER_01,0.053,False
גדי,0.008,0.008,0.8,00:50,00:51,0.66,SPEAKER_01,0.008,False
"אורן,",0.012,0.012,1.2,00:51,00:52,0.22,SPEAKER_01,0.012,False
לא,0.01,0.01,1.0,00:52,00:52,0.32,SPEAKER_01,0.01,False
יודע,0.032,0.032,3.2,00:52,00:52,0.24,SPEAKER_01,0.032,False
איך,0.017,0.017,1.7,00:52,00:53,0.08,SPEAKER_01,0.017,False
מופיע,0.004,0.004,0.4,00:53,00:54,1.02,SPEAKER_01,0.004,False
"לך,",0.03,0.03,3.0,00:54,00:54,0.66,SPEAKER_01,0.03,False
שנייה,0.003,0.003,0.3,00:55,00:56,0.7,SPEAKER_01,0.003,False
רגע.,0.006,0.006,0.6,00:56,00:56,0.16,SPEAKER_00,0.006,False
אוקיי.,0.059,0.059,5.9,00:56,00:57,0.8,SPEAKER_00,0.059,False
